"id","title","txt_url","authors"
"20841","Os Pobres: Precedido de uma Carta-Prefacio de Guerra Junqueiro","https://www.gutenberg.org/ebooks/20841.txt.utf-8","Brandão, Raul"
"28707","Na Guella do Leão","https://www.gutenberg.org/ebooks/28707.txt.utf-8","Sabugosa, António Maria José de Melo César e Meneses, conde de"
"29347","As Noites do Asceta","https://www.gutenberg.org/ebooks/29347.txt.utf-8","Pimentel, Alberto"
"28201","Noites de insomnia, offerecidas a quem não póde dormir. Nº 10 (de 12)","https://www.gutenberg.org/ebooks/28201.txt.utf-8","Castelo Branco, Camilo"
"25594","O Engeitado","https://www.gutenberg.org/ebooks/25594.txt.utf-8","Braga, Alberto Leal Barradas Monteiro"
"34039","Aquela Família: Tipos, caricaturas e episódios provincianos","https://www.gutenberg.org/ebooks/34039.txt.utf-8","Patrício, Ladislau"
"21581","Contos d'Aldeia","https://www.gutenberg.org/ebooks/21581.txt.utf-8","Braga, Alberto Leal Barradas Monteiro"
"63034","Comedia do Campo volume III (Scenas do Minho)","https://www.gutenberg.org/ebooks/63034.txt.utf-8","Moreno, Bento"
"29161","Entre as Nymphéas","https://www.gutenberg.org/ebooks/29161.txt.utf-8","Carvalho, João Marques de"
"30543","Nas Cinzas","https://www.gutenberg.org/ebooks/30543.txt.utf-8","Berthoud, Eugène"
"29740","A Neta do Arcediago","https://www.gutenberg.org/ebooks/29740.txt.utf-8","Castelo Branco, Camilo"
"20103","A princeza na berlinda: Rattazzi a vol d'oiseau, com a biographia de sua Alteza","https://www.gutenberg.org/ebooks/20103.txt.utf-8","Castro, Urbano de"
"34719","Noites de Cintra","https://www.gutenberg.org/ebooks/34719.txt.utf-8","Pimentel, Alberto"
"62352","Julião e a Biblia","https://www.gutenberg.org/ebooks/62352.txt.utf-8","Martínez, Emilio"
"31741","O Oraculo do Passado, do presente e do Futuro (6/7): Parte Sexta: O oraculo da Magica","https://www.gutenberg.org/ebooks/31741.txt.utf-8","Serrano, Bento"
"28206","Noites de insomnia, offerecidas a quem não póde dormir. Nº 11 (de 12)","https://www.gutenberg.org/ebooks/28206.txt.utf-8","Castelo Branco, Camilo"
"31575","A Pata no Choco","https://www.gutenberg.org/ebooks/31575.txt.utf-8","Anonymous"
"33788","Estrellas Propícias","https://www.gutenberg.org/ebooks/33788.txt.utf-8","Castelo Branco, Camilo"
"22977","Lagrimas Abençoadas","https://www.gutenberg.org/ebooks/22977.txt.utf-8","Castelo Branco, Camilo"
"19375","A senhora Rattazzi","https://www.gutenberg.org/ebooks/19375.txt.utf-8","Castelo Branco, Camilo"
"27725","Saudades: história de menina e moça","https://www.gutenberg.org/ebooks/27725.txt.utf-8","Ribeiro, Bernardim"
"44540","Cinco minutos","https://www.gutenberg.org/ebooks/44540.txt.utf-8","Alencar, José Martiniano de"
"16429","Contos para a infância: Escolhidos dos melhores auctores por Guerra Junqueiro","https://www.gutenberg.org/ebooks/16429.txt.utf-8","Junqueiro, Abílio Manuel Guerra"
"23687","A Morte Vence","https://www.gutenberg.org/ebooks/23687.txt.utf-8","Grave, João José"
"22015","As Minas de Salomão","https://www.gutenberg.org/ebooks/22015.txt.utf-8","Haggard, H. Rider (Henry Rider)"
"31917","A Divorciada","https://www.gutenberg.org/ebooks/31917.txt.utf-8","Vieira, José Augusto"
"67162","Helena","https://www.gutenberg.org/ebooks/67162.txt.utf-8","Machado de Assis"
"31906","Memorias de um pobre diabo","https://www.gutenberg.org/ebooks/31906.txt.utf-8","Seabra, Bruno"
"16425","Amor de Perdição: Memorias d'uma familia","https://www.gutenberg.org/ebooks/16425.txt.utf-8","Castelo Branco, Camilo"
"24319","Viagens na Minha Terra (Volume II)","https://www.gutenberg.org/ebooks/24319.txt.utf-8","Almeida Garrett, João Batista da Silva Leitão de Almeida Garrett, Visconde de"
